step,energy,beta,lambda,delta
329,49.3066,0.0111926,219.21,3.14
330,38.9375,0.0125324,222.962,3.14
331,59.916,0.0171799,226.779,3.14
332,36.0742,0.00960651,230.661,3.14
333,13.75,0.00814973,234.61,3.14
334,34.1104,0.00813052,238.627,3.14
335,36.9033,0.00979564,242.712,3.14
336,26.7832,0.00760291,246.868,3.14
337,31.793,0.010863,251.095,3.14
338,71.5078,0.0191455,255.393,3.14
339,32.127,0.00858198,259.766,3.14
340,27.2188,0.0219317,264.215,3.14
341,35.7324,0.0179878,268.739,3.14
342,38.4932,0.0102128,273.341,3.14
343,40.5195,0.0110078,278.022,3.14
344,21.7158,0.00841931,282.784,3.14
345,39.2578,0.01308,287.627,3.14
346,56.2812,0.021767,292.552,3.14
347,19.7568,0.00980552,297.563,3.14
348,30.5029,0.0125539,302.659,3.14
349,29.0996,0.0124982,307.843,3.14
350,29.7725,0.0129582,313.116,3.14
351,34.7441,0.0114752,318.479,3.14
352,58.4854,0.0210641,323.933,3.14
353,29.7139,0.0142864,329.482,3.14
354,25.9766,0.0107141,335.126,3.14
355,43.874,0.0231192,340.866,3.14
356,45.8281,0.0192433,346.705,3.14
357,20.4023,0.0123739,352.644,3.14
358,53.7412,0.0225246,358.685,3.14
359,17.2998,0.010568,364.83,3.14
360,16.4805,0.0130059,371.08,3.14
361,28.5381,0.0227939,377.436,3.14
362,44.748,0.0217257,383.903,3.14
363,42.8848,0.017091,390.479,3.14
364,19.6162,0.0122268,397.17,3.14
365,15.9395,0.0129265,403.976,3.14
366,44.2939,0.0201463,410.898,3.14
367,34.6504,0.0249982,417.938,3.14
368,35.457,0.0273747,425.099,3.14
369,16.0479,0.0168614,432.383,3.14
370,22.1543,0.018389,439.793,3.14
371,39.3154,0.0234068,447.328,3.14
372,45.3398,0.033403,454.993,3.14
373,29.5098,0.0218336,462.79,3.14
374,23.6465,0.0167975,470.721,3.14
375,37.416,0.0425237,478.786,3.14
376,23.2676,0.0257388,486.99,3.14
377,11.1406,0.0383475,495.336,3.14
378,46.1426,0.0221972,503.824,3.14
379,27.665,0.024756,512.459,3.14
380,14.0996,0.0183467,521.242,3.14
381,11.3994,0.026667,530.176,3.14
382,13.3945,0.0234741,539.263,3.14
383,39.1562,0.0477097,548.505,3.14
384,20.833,0.0233018,557.907,3.14
385,61.2637,0.0307752,567.467,3.14
386,16.3604,0.0262595,577.195,3.14
387,22.8301,0.0218994,587.088,3.14
388,44.1074,0.0516888,597.15,3.14
389,52.334,0.0601952,607.385,3.14
390,37.1885,0.0341896,617.796,3.14
391,12.2227,0.0184891,628.388,3.14
392,25.1035,0.0473892,639.161,3.14
393,13.7129,0.0269074,650.118,3.14
394,26.2754,0.0302504,661.261,3.14
395,5.19434,0.0202674,672.598,3.14
396,17.1162,0.0325688,684.128,3.14
397,39.1934,0.0669241,695.855,3.14
398,13.1709,0.0264875,707.786,3.14
399,46.7988,0.0514206,719.919,3.14
400,8.38672,0.0216741,732.263,3.14
401,17.5088,0.0309456,744.819,3.14
402,16.2432,0.0463761,757.588,3.14
403,24.8232,0.0484894,770.579,3.14
404,11.8965,0.0326518,783.792,3.14
405,7.0166,0.027674,797.232,3.14
406,13.3936,0.0285039,810.903,3.14
407,22.5244,0.070786,824.808,3.14
408,7.06543,0.038506,838.952,3.14
409,19.0244,0.0349348,853.337,3.14
410,7.36914,0.0525258,867.97,3.14
411,4.96875,0.0367816,882.856,3.14
412,9.0625,0.036539,897.996,3.14
413,12.4883,0.0420404,913.395,3.14
414,3.9209,0.0252048,929.061,3.14
415,30.79,0.0814996,944.992,3.14
416,5.81836,0.0341919,961.199,3.14
417,25.2305,0.0662399,977.683,3.14
418,17.9453,0.109397,994.449,3.14
419,14.9414,0.145856,1011.5,3.14
420,6.30762,0.0386724,1028.85,3.14
421,19.3945,0.0889074,1046.5,3.14
422,14.0596,0.0478651,1064.45,3.14
423,5.64844,0.0452421,1082.7,3.14
424,11.3027,0.0689944,1101.28,3.14
425,28.5342,0.0703994,1120.16,3.14
426,7.86719,0.0564291,1139.38,3.14
427,5.79688,0.0382379,1158.92,3.14
428,3.61035,0.065633,1178.8,3.14
429,10.1084,0.0771449,1199.02,3.14
430,9.05957,0.0475404,1219.58,3.14
431,13.7158,0.0587483,1240.5,3.14
432,5.63672,0.0729856,1261.78,3.14
433,11.8008,0.055871,1283.43,3.14
434,8.20508,0.0500303,1305.44,3.14
435,17.1025,0.123241,1327.84,3.14
436,17.5498,0.0699315,1350.61,3.14
437,9.46973,0.0842633,1373.78,3.14
438,4.10156,0.0426677,1397.35,3.14
439,6.70605,0.0565995,1421.32,3.14
440,8.16699,0.0767782,1445.71,3.14
441,15.6855,0.0668239,1470.51,3.14
442,6.87402,0.0491955,1495.74,3.14
443,7.04688,0.0646144,1521.4,3.14
444,5.28711,0.0499436,1547.5,3.14
445,6.70898,0.0779731,1574.05,3.14
446,4.00195,0.070032,1601.06,3.14
