step,energy,beta,lambda,delta
245,0.0163822,618.374,3430.62,0.5
246,0.015377,440.187,3557.56,0.5
247,0.0159149,325.136,3689.22,0.5
248,0.0140705,544.788,3825.76,0.5
249,0.0133362,972.406,3967.4,0.5
250,0.0142612,775.949,4114.32,0.5
251,0.0180855,728.949,4266.69,0.5
252,0.018322,145363,4424.71,0.5
253,0.0192814,1078.4,4588.57,0.5
254,0.0136986,535.648,4758.52,0.5
255,0.0181465,1033.23,4934.79,0.5
256,0.0145435,1031.96,5117.63,0.5
257,0.0141506,1856.84,5307.23,0.5
258,0.0172348,1584.03,5503.89,0.5
259,0.0206356,734.573,5707.87,0.5
260,0.0157433,984.948,5919.43,0.5
261,0.0120239,1117.83,6138.87,0.5
262,0.0114803,1223.48,6366.45,0.5
263,0.0131836,4583.22,6602.5,0.5
264,0.0127411,1582.76,6847.3,0.5
265,0.0106678,436.617,7101.23,0.5
266,0.0131187,530.683,7364.57,0.5
267,0.0114288,8354.22,7637.74,0.5
268,0.0129757,22713,7921.07,0.5
269,0.0116425,977.858,8214.93,0.5
270,0.00913239,799.691,8519.73,0.5
